id;pseudo;birthday;id_discord
1;mobile Fish;2019-06-09T00:26:49;Savings Account Dam
2;Practical Fresh Pants;2019-06-09T04:43:58;alarm
3;Tasty Metal Bacon;2019-06-08T20:38:04;Electronics
4;Soap methodology Albania;2019-06-09T08:47:34;intangible
5;enable Gorgeous Frozen Pants;2019-06-09T13:34:22;Licensed Savings Account
6;Cambridgeshire Mississippi;2019-06-09T18:02:40;Credit Card Account Table Small Frozen Sausages
7;South Dakota envisioneer Music;2019-06-09T13:37:05;Monitored Bahamian Dollar Investment Account
8;Games Regional Digitized;2019-06-09T03:15:32;hardware Costa Rica Mayotte
9;Industrial;2019-06-08T22:56:41;Views e-enable Communications
10;National Awesome sky blue;2019-06-09T18:04:26;software scale interactive
